Date,Monitoring_Station,Season,Split,Year,Latitude,Longitude,PM2.5,AOD,AOD_dry,AOD_corrected,f_RH,Temp_norm,RH_squared,Wind Speed,Wind_U,Wind_V,AODcorr_Wind_interact,DOY_sin,DOY_cos,Is_Dust_Season,PM2.5_lag1,AOD_lag1,AOD_corrected_lag1,RH_rolling3,Station_ID,Season_ID
2016-09-18,Uttar Bagura Road,Monsoon,train,2016,22.709818,90.362498,20.231,0.806,0.3653282952483846,0.3720048434710385,1.8833081473499544,1.1504428841886056,6313.169257024793,0.3777272727272727,-0.2971321439822718,0.2332174555527135,0.1405163749656513,-0.97961369164549,-0.2008905551306352,0,26.491000000000003,0.457,0.1945126111346392,82.09584980237155,4,3
2016-09-20,Uttar Bagura Road,Monsoon,train,2016,22.709818,90.362498,25.68625,0.584,0.2486196879500166,0.258190058268624,1.980167207305416,1.142277092681143,6703.738922314049,0.37,-0.3034964950108451,0.2116361914137845,0.0955303215593909,-0.9859481499638304,-0.1670516255021195,0,20.231,0.806,0.3720048434710385,81.86666666666666,4,3
2016-09-22,Uttar Bagura Road,Monsoon,train,2016,22.709818,90.362498,24.60888888888889,0.514555556,0.2242895669441383,0.2355984844466611,1.9431152472814723,1.1239868231897652,6561.0,0.3325,0.0323813389075745,0.3309194749339373,0.0783364960785148,-0.9911140639934546,-0.1330147065341963,0,25.68625,0.584,0.258190058268624,80.77727272727272,4,3
2016-09-25,Uttar Bagura Road,Monsoon,train,2016,22.709818,90.362498,33.09,0.455,0.1411478155457366,0.1658818656152797,2.5507611182824745,1.0753323154577998,8167.94187777778,0.3783333333333333,-0.3118941095172625,0.2141452207254342,0.0627586391577808,-0.99665890175417,-0.0816763953304228,0,24.60888888888889,0.514555556,0.2355984844466611,84.41767676767677,4,3
2016-09-26,Uttar Bagura Road,Monsoon,train,2016,22.709818,90.362498,29.26631578947368,0.384078431,0.1434250732230831,0.1588040837843928,2.19905388256732,1.099821946223424,7405.508317174514,0.3842105263157894,-0.2010202127514885,0.3274272477928527,0.0610142006118982,-0.9979171608653922,-0.0645084494493162,0,33.09,0.455,0.1658818656152797,85.8106432748538,4,3
2016-09-28,Uttar Bagura Road,Monsoon,train,2016,22.709818,90.362498,41.19761904761905,0.514583333,0.145934302478967,0.1772329450595367,2.7405558887166506,1.0594308087800657,8456.140007438016,0.3918181818181818,-0.3339564233273869,-0.2049258278540919,0.0694430902915093,-0.9995462806873572,-0.0301203048469083,0,29.26631578947368,0.384078431,0.1588040837843928,89.46306751727805,4,3
2016-09-29,Uttar Bagura Road,Monsoon,train,2016,22.709818,90.362498,37.96125,0.421555556,0.1763241467714855,0.1851434304004915,2.00832697367226,1.133736399103431,6807.075025000002,0.3666666666666667,-0.3037984126242329,0.2053070114035094,0.0678859244801802,-0.999916658654738,-0.0129102960750088,0,41.19761904761905,0.514583333,0.1772329450595367,86.83917862838916,4,3
2016-09-30,Uttar Bagura Road,Monsoon,train,2016,22.709818,90.362498,26.321250000000003,0.419666667,0.1868184557459313,0.1902626448127369,1.9106791229354767,1.1544182608580391,6429.366944444443,0.3704166666666666,-0.0559176906598057,0.366171706738408,0.0704764546827179,-0.99999073973619,0.0043035382962438,0,37.96125,0.421555556,0.1851434304004915,84.88186868686869,4,3
2016-10-01,Uttar Bagura Road,Post-Monsoon,train,2016,22.709818,90.362498,24.202105263157897,0.260827586,0.1157598294416069,0.1085598224337585,2.0773806371406875,1.1565604002343302,6448.508963327034,0.3639130434782609,-0.0404168025864213,0.3616617000489558,0.0395063353813286,-0.9997685019798908,0.0215160974362222,0,26.321250000000003,0.419666667,0.1902626448127369,80.9969806763285,4,4
2016-10-05,Uttar Bagura Road,Post-Monsoon,train,2016,22.709818,90.362498,31.7725,0.404878788,0.1405095653189037,0.1469715661555598,2.592132639334209,1.0627582414941252,7736.301914062499,0.34625,-0.2705904667180229,0.2160320851663534,0.0508889047813626,-0.9959189961471792,0.0902516100310407,0,24.202105263157897,0.260827586,0.1085598224337585,82.81406400966183,4,4
