Date,Monitoring_Station,Season,Split,Year,Latitude,Longitude,PM2.5,AOD,AOD_dry,AOD_corrected,f_RH,Temp_norm,RH_squared,Wind Speed,Wind_U,Wind_V,AODcorr_Wind_interact,DOY_sin,DOY_cos,Is_Dust_Season,PM2.5_lag1,AOD_lag1,AOD_corrected_lag1,RH_rolling3,Station_ID,Season_ID,Temperature,RH,AODcorr_RH_residual
2014-01-07,Agrabad,Winter,train,2014,22.323153,91.802209,171.8995238095238,0.464947059,0.26673097003414026,0.3473474170362668,1.7431311367423479,0.767908315858559,4500.946119008265,2.811818181818182,-2.7938619002643286,0.31726514125365435,0.9766777826301576,0.1202080448993527,0.9927487224577402,0,130.81714285714287,0.839841176,0.6592053167812911,63.672670454545454,1,1,19.14090909090909,67.08909090909091,23.30322243858402
2014-01-08,Agrabad,Winter,train,2014,22.323153,91.802209,126.16291666666666,0.581517647,0.38523258206125605,0.5149157523998006,1.5095235296258833,0.7481468187093769,3148.8464626736113,3.2716666666666665,-1.839283964723313,-2.705704580121316,1.6846327032680142,0.13727877211326478,0.9905324521322229,0,171.8995238095238,0.464947059,0.3473474170362668,61.15330808080808,1,1,18.648333333333333,56.114583333333336,28.894282897684644
2014-01-09,Agrabad,Winter,train,2014,22.323153,91.802209,148.7715,0.3213,0.1971909221024766,0.2771982915365118,1.6293853518927515,0.7113713472382752,3885.4963890625004,2.212916666666666,-2.1903931985699505,-0.314925085170444,0.6134167193126725,0.15430882066428117,0.9880226656636976,0,126.16291666666666,0.581517647,0.5149157523998006,61.84580808080809,1,1,17.731666666666666,62.33375,17.278809005064044
2014-01-10,Agrabad,Winter,train,2014,22.323153,91.802209,149.22571428571428,0.208894118,0.12131284550086849,0.16609335462907368,1.721945579114328,0.7303895196276164,4392.280946938775,2.071428571428572,-1.9852589927127848,-0.5912385799181531,0.3440505203030813,0.1712931441814776,0.9852201067560606,0,148.7715,0.3213,0.2771982915365118,61.57420634920635,1,1,18.205714285714286,66.27428571428571,11.007718439931407
2014-01-11,Agrabad,Winter,train,2014,22.323153,91.802209,136.22692307692307,0.112405882,0.06235065550198622,0.0783541509150199,1.802801928785163,0.7957543381410578,4793.023669444445,1.8929166666666664,-1.5206918810576981,1.1272221208926139,0.1483178781695564,0.1882267098432442,0.9821256058680006,0,149.22571428571428,0.208894118,0.16609335462907368,65.94656746031745,1,1,19.835,69.23166666666667,5.424588458098353
2014-01-12,Agrabad,Winter,train,2014,22.323153,91.802209,209.0327777777778,1.173270588,0.6178006890997779,0.8010598309455402,1.899108577735029,0.7712291457312866,5223.409352077562,1.6566666666666667,-1.4915280979563008,0.7210328546268221,1.3270891199331116,0.2051044998686192,0.9787400799669153,0,136.22692307692307,0.112405882,0.0783541509150199,69.25970342522974,1,1,19.223684210526315,72.27315789473684,57.89512364505823
2014-01-13,Agrabad,Winter,train,2014,22.323153,91.802209,125.76916666666666,0.560047059,0.34350757742252797,0.4108334043643683,1.630377598078775,0.8361237761422898,3891.2124168402775,2.1966666666666668,-0.4316658224819019,-2.1538358948967,0.9024640449203958,0.2219215130041655,0.9750645322571948,0,209.0327777777778,1.173270588,0.8010598309455402,67.96146929824562,1,1,20.84125,62.37958333333333,25.627616583664143
2014-01-14,Agrabad,Winter,train,2014,22.323153,91.802209,162.62875,0.855605882,0.4663608036751725,0.5855446634649039,1.8346436391252612,0.7964564153236878,4940.742675173612,1.659166666666667,-1.547377456929894,-0.5987128139291434,0.9715161874655198,0.2386727660059501,0.9711000518829505,0,125.76916666666666,0.560047059,0.4108334043643683,68.31438596491228,1,1,19.8525,70.29041666666667,41.1581783718912
2014-01-15,Agrabad,Winter,train,2014,22.323153,91.802209,193.1982608695652,0.900714286,0.3599665700732505,0.5002344790323364,2.5022164858717613,0.7195956799490852,7060.760802777778,1.77375,-1.7617550395070958,-0.20593261827926101,0.8872909071836067,0.255353295116187,0.9668478136052775,0,162.62875,0.855605882,0.5855446634649039,72.23277777777778,1,1,17.936666666666667,84.02833333333334,42.03386954895551
2014-01-16,Agrabad,Winter,train,2014,22.323153,91.802209,178.04208333333335,0.703835294,0.31420682222104634,0.45213557204041455,2.2400382303120323,0.6949393979400512,6411.338350694446,1.887916666666667,-1.5068396603324778,-1.1373933261307985,0.8535942820479661,0.2719581575341055,0.9623090774541486,0,193.1982608695652,0.900714286,0.5002344790323364,78.12986111111111,1,1,17.322083333333335,80.07083333333334,36.202872032919366
