Feature,RF_importance,Permutation_mean,Permutation_std,Category
DayOfYear,0.14824382801711214,0.08236560881425255,0.005175769951263972,OTHER
Season_ord,0.13795306714851913,0.05874832661779663,0.004408470493747994,TEMPORAL
Month,0.10175849666679466,0.03931431791220844,0.0033862409443459,TEMPORAL
Temperature,0.07180404246697165,-0.007854586297799449,0.001986549751336027,METEOROLOGY
Station_enc,0.05989731200746359,0.0005985710352618301,0.0018847715008366982,SPATIAL
Month_cos,0.05887925573332379,0.025023416806280084,0.0017224250304068932,TEMPORAL
Month_sin,0.05773826673486748,0.017387352828997837,0.0023082762998924873,TEMPORAL
GeoZone_enc,0.04073665509233851,0.0002698582779358194,0.0018140474628839337,SPATIAL
BP,0.0304160106431651,-0.011485695816465835,0.001019893195121139,METEOROLOGY
AOD_x_Season,0.026928690096932332,-0.0008732780899728288,0.0012891058599153343,AOD_TRANSFORM
Longitude,0.02494276673533339,0.00037193754409667876,0.0008151812801096916,SPATIAL
RH,0.01998175192261821,-0.009635018300377662,0.0005801588587081384,METEOROLOGY
f_RH,0.01961976291209662,-0.009631029012168179,0.0005310284716647924,CORRECTION_TERM
BL_proxy,0.019080804547783208,-0.02168255262069211,0.0014499769913386958,CORRECTION_TERM
Solar Rad,0.01800087490956676,-0.013418069767826312,0.0007665743689624983,METEOROLOGY
Latitude,0.01796945274304567,-0.011275383701781983,0.0008557322970794799,SPATIAL
Temp_ord,0.015770468771237625,-0.004524520764812356,0.0004306944717902373,OTHER
Wind Speed,0.015356081522669424,-0.014918014685906334,0.0010666704166939287,METEOROLOGY
AOD_FULL_corr,0.012655808216231253,-0.009777387728978492,0.000989053384391237,CORRECTED_AOD
Rain,0.01055756509728278,-0.0006508807150099938,0.00034542334737918404,METEOROLOGY
Wet_scavenge,0.010284598770320013,-0.0006114838728611515,0.00028721289639794417,CORRECTION_TERM
WindDir_sin,0.010226983830776762,0.0006616945197975066,0.00023340547663945754,OTHER
AOD_BLH_corr,0.009949938313781935,-0.008209790728454801,0.0005531955459437996,CORRECTED_AOD
AOD_x_WS,0.009549305176073448,-0.008341362586253332,0.000608416598878101,AOD_TRANSFORM
AOD_x_SolRad,0.007171337770785885,-0.0028151440436394947,0.0004940068107644774,AOD_TRANSFORM
AOD_RH_corr,0.004669765116879374,-0.0020532662808339986,0.00035791496615496525,CORRECTED_AOD
AOD_x_Temp,0.00450089563686287,-0.0015316124502163463,0.00021196569406523592,AOD_TRANSFORM
Rain_Status_ord,0.004196084598231381,-0.00041606814119772296,0.00021437193924068697,OTHER
AOD_x_RH,0.004180343875248846,-0.0014872382679561812,0.00021046240270581712,AOD_TRANSFORM
AOD_log,0.00330820494358262,-0.0011040044607989797,9.222863310321879e-05,AOD_TRANSFORM
AOD_sqrt,0.003282518173932258,-0.0011204433077973586,0.00013637689022257373,AOD_TRANSFORM
Humidity_ord,0.0032772217573230514,-0.002530371723587255,0.0003282663751859757,OTHER
AOD_x_WindPol,0.003222679638876107,-0.0010974217185754753,0.00026817114498548135,AOD_TRANSFORM
AOD,0.003197945011402689,-0.00127011753190861,0.00015743797543748723,RAW_AOD
AOD_sq,0.0030707905722570624,-0.0011536837066373651,0.0001226632734787844,AOD_TRANSFORM
WindDir_cos,0.003022450231460833,-0.0005242090663997723,0.00012292563520704757,OTHER
WindDir_missing,0.0017666147157557256,-0.0006671051525557692,0.00018904488245642749,OTHER
Wind_Origin_missing,0.0016765945906773024,-0.0009693535750533555,0.0001849514151792217,OTHER
Wind_Polluted,0.0008829603257915371,-0.00017912263334530777,6.683222256524876e-05,OTHER
AOD_Loading_ord,0.00027180496462690646,-0.00018843073228823614,4.3455572014789407e-05,AOD_TRANSFORM
