Date,PM2.5,AOD,AOD_log,AOD_sqrt,AOD_sq,AOD_BLH_corr,AOD_RH_corr,AOD_FULL_corr,BL_proxy,f_RH,Wind Speed,Temperature,RH,Solar Rad,BP,Rain,Wet_scavenge,AOD_x_RH,AOD_x_Temp,AOD_x_WS,AOD_x_SolRad,AOD_x_Season,AOD_x_WindPol,Month,DayOfYear,Year,Month_sin,Month_cos,DOY_sin,DOY_cos,WindDir_sin,WindDir_cos,Season_ord,AOD_Loading_ord,Rain_Status_ord,Humidity_ord,Temp_ord,Wind_Polluted,GeoZone_enc,Station_enc,Latitude,Longitude
2014-01-06,130.81714285714287,0.839841176,0.609679,0.916428,0.705333,0.094807,0.529458,0.059769,8.858407,0.630426,2.16,20.02,60.25625,13.92875,1014.13125,0.14,0.117578,50.60568,16.81362,1.814057,11.697938,3.359365,0.839841,1,6,2014,0.5,0.866025,0.103102,0.994671,-0.381353,0.92443,4,3,1.0,2.0,2.0,1.0,83.4484,85.3572,22.323153,91.802209
2014-01-07,150.49690201730726,0.464947059,0.381819,0.68187,0.216176,0.07073,0.266731,0.040577,6.573525,0.57368,2.811818181818182,19.14090909090909,67.08909090909091,108.1509090909091,1015.4540909090908,0.51,0.237123,31.192876,8.899509,1.307347,50.284447,1.859788,0.0,1,7,2014,0.5,0.866025,0.120208,0.992749,0.112833,-0.993614,4,2,1.0,2.0,1.0,0.0,83.4484,85.3572,22.323153,91.802209
2014-01-08,142.50507163463965,0.581517647,0.458385,0.762573,0.338163,0.10514,0.385233,0.069651,5.530895,0.662461,3.2716666666666665,18.648333333333333,56.114583333333336,140.77541666666667,1016.4070833333334,0.56,0.32565,32.63162,10.844335,1.902532,81.863389,2.326071,0.0,1,8,2014,0.5,0.866025,0.137279,0.990532,-0.827011,-0.562186,4,2,1.0,2.0,1.0,0.0,83.4484,85.3572,22.323153,91.802209
2014-01-09,144.0895494459841,0.3213,0.278616,0.566833,0.103234,0.04191,0.197191,0.025722,7.666366,0.613728,2.212916666666666,17.731666666666666,62.33375,141.15041666666667,1015.1679166666668,0.25,0.080325,20.027834,5.697184,0.71101,45.351629,1.2852,0.0,1,9,2014,0.5,0.866025,0.154309,0.988023,-0.142312,-0.989822,4,2,1.0,2.0,1.0,0.0,83.4484,85.3572,22.323153,91.802209
2014-01-10,145.15859828515818,0.208894118,0.189706,0.457049,0.043637,0.024915,0.121313,0.014469,8.384211,0.580738,2.071428571428572,18.205714285714286,66.27428571428571,98.76190476190476,1015.1742857142856,0.15,0.031334,13.844308,3.803067,0.432709,20.630781,0.835576,0.0,1,10,2014,0.5,0.866025,0.171293,0.98522,-0.285426,-0.958401,4,1,1.0,2.0,1.0,0.0,83.4484,85.3572,22.323153,91.802209
2014-01-11,143.55913818895823,0.112405882,0.106525,0.33527,0.012635,0.011294,0.062351,0.006265,9.952749,0.554692,1.8929166666666664,19.835,69.23166666666667,162.24416666666667,1015.8120833333334,0.28,0.031474,7.782047,2.229571,0.212775,18.237199,0.449624,0.0,1,11,2014,0.5,0.866025,0.188227,0.982126,0.595495,-0.803359,4,1,1.0,2.0,1.0,0.0,83.4484,85.3572,22.323153,91.802209
2014-01-12,153.9702173145896,1.173270588,0.776233,1.083176,1.376564,0.107214,0.617801,0.056455,10.943274,0.526563,1.6566666666666667,19.223684210526315,72.27315789473684,138.5142105263158,1017.5573684210526,0.12,0.140792,84.79597,22.554583,1.943718,162.514649,4.693082,0.0,1,12,2014,0.5,0.866025,0.205104,0.97874,0.435231,-0.900319,4,3,1.0,2.0,1.0,0.0,83.4484,85.3572,22.323153,91.802209
2014-01-13,149.89300480330286,0.560047059,0.444716,0.748363,0.313653,0.061716,0.343508,0.037854,9.074565,0.613355,2.1966666666666668,20.84125,62.37958333333333,131.01041666666666,1016.3504166666668,0.45,0.252021,34.935502,11.672081,1.230237,73.371999,2.240188,0.0,1,13,2014,0.5,0.866025,0.221922,0.975065,-0.980502,-0.196509,4,2,1.0,2.0,2.0,0.0,83.4484,85.3572,22.323153,91.802209
2014-01-14,151.59808732748164,0.855605882,0.618211,0.92499,0.732061,0.075817,0.466361,0.041325,11.285173,0.545065,1.659166666666667,19.8525,70.29041666666667,128.62708333333333,1015.7104166666668,0.2,0.171121,60.140894,16.985916,1.419593,110.054089,3.422424,0.0,1,14,2014,0.5,0.866025,0.238673,0.9711,-0.360852,-0.932623,4,3,1.0,2.0,1.0,0.0,83.4484,85.3572,22.323153,91.802209
2014-01-15,156.83071034185804,0.900714286,0.64223,0.94906,0.811286,0.094093,0.359967,0.037604,9.572604,0.399646,1.77375,17.936666666666667,84.02833333333334,108.40041666666669,1016.815,0.27,0.243193,75.68552,16.155812,1.597642,97.637804,3.602857,0.0,1,15,2014,0.5,0.866025,0.255353,0.966848,-0.1161,-0.993238,4,3,1.0,3.0,1.0,0.0,83.4484,85.3572,22.323153,91.802209
2014-01-16,159.36654386119258,0.703835294,0.532882,0.838949,0.495384,0.080774,0.314207,0.036059,8.713687,0.446421,1.887916666666667,17.322083333333335,80.07083333333334,105.54416666666668,1017.8695833333333,0.2,0.140767,56.356679,12.191894,1.328782,74.28571,2.815341,0.0,1,16,2014,0.5,0.866025,0.271958,0.962309,-0.602459,-0.798149,4,2,1.0,3.0,1.0,0.0,83.4484,85.3572,22.323153,91.802209
2014-01-17,161.94671200216584,0.379682353,0.321853,0.616184,0.144159,0.040492,0.162139,0.017292,9.376726,0.427039,1.831428571428572,18.11047619047619,81.76380952380953,103.67190476190476,1017.1714285714284,0.29,0.110108,31.044276,6.876228,0.695361,39.362393,1.518729,0.0,1,17,2014,0.5,0.866025,0.288482,0.957485,-0.495488,-0.868615,4,2,1.0,3.0,1.0,0.0,83.4484,85.3572,22.323153,91.802209
2014-01-18,162.92483454674615,0.376988095,0.319899,0.613994,0.14212,0.027049,0.179898,0.012908,13.937292,0.477197,1.4016666666666666,20.929166666666667,77.22833333333334,140.96875,1018.29125,0.19,0.071628,29.114162,7.890047,0.528412,53.143541,1.507952,0.0,1,18,2014,0.5,0.866025,0.304921,0.952378,0.613665,-0.789566,4,2,1.0,3.0,2.0,0.0,83.4484,85.3572,22.323153,91.802209
2014-01-19,164.5391747613887,0.556094118,0.442179,0.745717,0.309241,0.031134,0.298499,0.016712,17.861582,0.536777,1.08,21.076666666666668,71.18708333333333,141.56125,1019.23,0.09,0.050048,39.586718,11.72061,0.600582,78.721378,2.224376,0.0,1,19,2014,0.5,0.866025,0.32127,0.946988,-0.36443,-0.931231,4,2,1.0,2.0,2.0,0.0,83.4484,85.3572,22.323153,91.802209
2014-01-20,162.12495448476926,0.523047059,0.420713,0.72322,0.273578,0.067537,0.337747,0.043611,7.744602,0.64573,2.7175,21.82041666666667,58.303333333333335,141.45624999999998,1019.2533333333332,0.43,0.22491,30.495387,11.413105,1.42138,73.988276,2.092188,0.0,1,20,2014,0.5,0.866025,0.337523,0.941317,0.418277,-0.90832,4,2,1.0,2.0,2.0,0.0,83.4484,85.3572,22.323153,91.802209
2014-01-21,159.40539568856693,0.370035294,0.314837,0.608305,0.136926,0.04013,0.20243,0.021953,9.221027,0.547057,2.1075,20.355416666666667,70.07291666666667,147.94041666666666,1018.6654166666668,0.23,0.085108,25.929452,7.532223,0.779849,54.743176,1.480141,0.0,1,21,2014,0.5,0.866025,0.353676,0.935368,-0.719996,-0.693978,4,2,1.0,2.0,2.0,0.0,83.4484,85.3572,22.323153,91.802209
2014-01-22,156.74688641798798,0.265852941,0.235746,0.515609,0.070678,0.026037,0.164712,0.016131,10.210629,0.61956,2.0404166666666668,21.855,61.614583333333336,154.06333333333333,1018.0083333333332,0.25,0.066463,16.380418,5.810216,0.542451,40.95819,1.063412,0.0,1,22,2014,0.5,0.866025,0.369725,0.929141,0.209903,-0.977722,4,1,1.0,2.0,2.0,0.0,83.4484,85.3572,22.323153,91.802209
2014-01-23,152.84323777994655,0.251664706,0.224474,0.501662,0.063335,0.016782,0.164171,0.010948,14.996126,0.652339,1.4058333333333335,22.581666666666667,57.44541666666667,154.56791666666666,1016.71125,0.1,0.025166,14.456984,5.683009,0.353799,38.899289,1.006659,0.0,1,23,2014,0.5,0.866025,0.385663,0.92264,0.195012,-0.980801,4,1,1.0,2.0,2.0,0.0,83.4484,85.3572,22.323153,91.802209
