Condition,N,Spearman_rho,Spearman_p,RF_R2_AOD_only,RMSE,nRMSE,Mean_PM25,Proxy_Quality,Significant_Spearman
Geo_Zone=Coastal & Rain_Status=No Rain,2680,0.0967,1e-06,0.0079,48.24,0.5971,80.79,Poor,Yes
Season=Winter & AOD_Loading=Low AOD (<0.3),503,0.2178,1e-06,0.0051,43.93,0.377,116.54,Poor,Yes
Humidity_Profile = Moderate (50-75%),3563,0.1667,0.0,0.005,53.29,0.515,103.48,Poor,Yes
Season=Pre-Monsoon & Rain_Status=No Rain,1513,-0.0716,0.005306,0.0035,46.55,0.5793,80.36,Poor,Yes
Season = Post-Monsoon,2670,0.1222,0.0,0.0032,41.14,0.554,74.26,Poor,Yes
Overall — All Data,11045,0.1374,0.0,0.0004,58.57,0.6248,93.75,Poor,Yes
Season=Pre-Monsoon & Temperature=Warm(25-30°C),946,-0.0733,0.024167,0.0,43.68,0.5782,75.55,Poor,Yes
Season=Pre-Monsoon & Temperature=Mild(20-25°C),389,-0.1938,0.00012,0.0,42.44,0.4341,97.76,Poor,Yes
Season=Monsoon & Temperature=Warm(25-30°C),381,0.0624,0.224176,0.0,17.4,0.5607,31.02,Poor,No
Season=Post-Monsoon & AOD_Loading=Moderate AOD (0.3-0.8),1295,0.0611,0.027899,0.0,41.55,0.5562,74.7,Poor,Yes
Season=Winter & Wind Speed=Low(0-1),981,0.2491,0.0,0.0,50.22,0.3685,136.29,Poor,Yes
Season=Winter & Wind Speed=High(3-5),80,0.2561,0.021852,0.0,41.04,0.2551,160.91,Poor,Yes
Season=Pre-Monsoon & Solar Rad=Low(50-150),196,-0.1044,0.145497,0.0,33.21,0.3924,84.63,Poor,No
Humidity_Profile = Humid (>75%),2551,0.1464,0.0,0.0,51.95,0.632,82.2,Poor,Yes
Season=Winter & Temperature=Hot(>30°C),75,0.3693,0.00111,0.0,51.15,0.3583,142.73,Poor,Yes
Season=Winter & Temperature=Warm(25-30°C),277,0.0818,0.174556,0.0,39.42,0.2932,134.45,Poor,No
Temp_Profile = Cool (<20°C),853,0.1729,0.0,0.0,61.63,0.4236,145.49,Poor,Yes
Season = Pre-Monsoon,2816,-0.0801,2.1e-05,0.0,42.97,0.5364,80.1,Poor,Yes
Season=Monsoon & Temperature=Mild(20-25°C),36,0.0288,0.867446,0.0,7.45,0.2579,28.88,Poor,No
Season=Winter & RH=VeryHigh(>80%),621,0.1363,0.00066,0.0,44.55,0.3338,133.47,Poor,Yes
AOD_Loading = Moderate AOD (0.3-0.8),5590,0.0212,0.113151,0.0,57.63,0.6365,90.53,Poor,No
Season=Post-Monsoon & Temp_Profile=Hot (>28°C),397,0.0038,0.940071,0.0,39.56,0.6022,65.7,Poor,No
Season=Monsoon & Temp_Profile=Warm (20-28°C),174,0.0573,0.453023,0.0,17.02,0.5717,29.77,Poor,No
Season=Monsoon & Temp_Profile=Hot (>28°C),585,0.1594,0.000108,0.0,13.4,0.4167,32.15,Poor,Yes
Season=Winter & Humidity_Profile=Humid (>75%),896,0.1875,0.0,0.0,46.84,0.3698,126.65,Poor,Yes
Season=Winter & Humidity_Profile=Dry (<50%),336,0.0908,0.096526,0.0,57.21,0.368,155.45,Poor,No
Season=Post-Monsoon & RH=High(60-80%),976,0.2615,0.0,0.0,38.86,0.5358,72.53,Poor,Yes
Season=Post-Monsoon & RH=Moderate(40-60%),136,0.0399,0.644911,0.0,47.89,0.527,90.87,Poor,No
Season=Post-Monsoon & RH=Low(<40%),54,0.4221,0.001475,0.0,20.33,0.2424,83.88,Poor,Yes
Season=Monsoon & RH=VeryHigh(>80%),294,0.0312,0.594314,0.0,11.2,0.4303,26.02,Poor,No
Season=Monsoon & RH=High(60-80%),457,0.1671,0.000333,0.0,11.05,0.347,31.85,Poor,Yes
Season=Monsoon & RH=Moderate(40-60%),40,0.2585,0.107223,0.0,9.03,0.1675,53.91,Poor,No
Season=Post-Monsoon & AOD_Loading=Low AOD (<0.3),729,0.0446,0.22869,0.0,35.14,0.5457,64.39,Poor,No
Season=Post-Monsoon & AOD_Loading=High AOD (>0.8),646,0.0727,0.064952,0.0,48.51,0.6516,74.44,Poor,No
Season=Monsoon & AOD_Loading=Moderate AOD (0.3-0.8),982,0.0864,0.006719,0.0,13.63,0.4497,30.31,Poor,Yes
Season=Monsoon & AOD_Loading=Low AOD (<0.3),232,0.0381,0.563227,0.0,16.81,0.5524,30.43,Poor,No
Season=Monsoon & AOD_Loading=High AOD (>0.8),411,-0.0039,0.937147,0.0,17.87,0.5307,33.67,Poor,No
Season=Winter & Rain_Status=No Rain,2085,0.16,0.0,0.0,54.35,0.4071,133.52,Poor,Yes
Season=Winter & Rain_Status=Heavy Rain,491,0.0516,0.253751,0.0,51.91,0.2943,176.38,Poor,No
Wind_Origin=Marine (Clean) & Humidity_Profile=Humid (>75%),1393,0.1119,2.8e-05,0.0,54.61,0.7731,70.64,Poor,Yes
Wind_Origin=Marine (Clean) & Humidity_Profile=Dry (<50%),354,0.2573,1e-06,0.0,63.74,0.5085,125.34,Poor,Yes
Wind_Origin=Continental (Polluted) & Humidity_Profile=Humid (>75%),326,0.1156,0.036978,0.0,65.66,0.726,90.44,Poor,Yes
Wind_Origin=Continental (Polluted) & Humidity_Profile=Dry (<50%),177,0.1958,0.009019,0.0,61.61,0.49,125.73,Poor,Yes
Season=Winter & Geo_Zone=Inland_Urban,1479,0.0694,0.007586,0.0,43.89,0.2379,184.51,Poor,Yes
Season=Winter & Geo_Zone=Inland_SemiUrban,950,0.2593,0.0,0.0,39.35,0.3641,108.07,Poor,Yes
Season=Winter & Geo_Zone=Coastal,1505,0.1204,3e-06,0.0,43.95,0.3486,126.08,Poor,Yes
Season=Pre-Monsoon & Geo_Zone=Inland_Urban,1091,-0.0375,0.215936,0.0,55.9,0.5516,101.35,Poor,No
Season=Pre-Monsoon & Geo_Zone=Inland_SemiUrban,593,-0.0929,0.023741,0.0,37.29,0.5264,70.84,Poor,Yes
Season=Pre-Monsoon & Geo_Zone=Coastal,1132,-0.1509,0.0,0.0,34.93,0.4818,72.5,Poor,Yes
Season=Post-Monsoon & Geo_Zone=Inland_Urban,1008,0.0296,0.347334,0.0,42.17,0.473,89.16,Poor,No
Season=Post-Monsoon & Geo_Zone=Inland_SemiUrban,703,0.0859,0.022675,0.0,35.03,0.6332,55.32,Poor,Yes
Season=Post-Monsoon & Geo_Zone=Coastal,959,0.1074,0.000866,0.0,33.98,0.5223,65.06,Poor,Yes
Season=Monsoon & Geo_Zone=Inland_Urban,725,-0.0071,0.849507,0.0,15.27,0.4235,36.06,Poor,No
Season=Monsoon & Geo_Zone=Inland_SemiUrban,395,0.006,0.905878,0.0,11.64,0.4529,25.7,Poor,No
Humidity_Profile=Dry (<50%) & Rain_Status=No Rain,259,0.2185,0.000397,0.0,53.67,0.5855,91.67,Poor,Yes
Humidity_Profile=Dry (<50%) & Rain_Status=Heavy Rain,280,0.2114,0.000368,0.0,67.45,0.4837,139.45,Poor,Yes
Wind_Origin=Marine (Clean) & AOD_Loading=Moderate AOD (0.3-0.8),2345,-0.0069,0.737654,0.0,59.51,0.6355,93.65,Poor,No
Wind_Origin=Marine (Clean) & AOD_Loading=Low AOD (<0.3),822,0.0668,0.055598,0.0,45.34,0.5971,75.93,Poor,No
Wind_Origin=Marine (Clean) & AOD_Loading=High AOD (>0.8),1476,0.148,0.0,0.0,62.8,0.5697,110.22,Poor,Yes
